,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate
17125,2022,1,1,31,1,31/01/2022,DL,DL,19790,DL,1740,,,,,DL,19790,DL,N312US,1740,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,615,600.0,-15.0,0.0,0.0,-1.0,0600-0659,47.0,647.0,806.0,3.0,804,809.0,5.0,5.0,0.0,0.0,0800-0859,0.0,,0.0,169.0,189.0,139.0,1.0,931.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
267469,2022,1,1,11,2,11/01/2022,DL,DL_CODESHARE,19790,DL,5746,,,,,YX,20452,YX,N878RW,5746,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,1206,1203.0,-3.0,0.0,0.0,-1.0,1200-1259,13.0,1216.0,1312.0,5.0,1329,1317.0,-12.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,83.0,74.0,56.0,1.0,335.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
70731,2022,1,1,15,6,15/01/2022,F9,F9,20436,F9,2374,,,,,F9,20436,F9,N301FR,2374,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,2148,2210.0,22.0,22.0,1.0,1.0,2100-2159,14.0,2224.0,17.0,5.0,21,22.0,1.0,1.0,0.0,0.0,0001-0559,0.0,,0.0,153.0,132.0,113.0,1.0,920.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
48251,2022,1,1,25,2,25/01/2022,DL,DL,19790,DL,1081,,,,,DL,19790,DL,N3748Y,1081,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,13495,1349505,33495,MSY,"New Orleans, LA",LA,22,Louisiana,72,1140,1124.0,-16.0,0.0,0.0,-2.0,1100-1159,25.0,1149.0,1535.0,3.0,1557,1538.0,-19.0,0.0,0.0,-2.0,1500-1559,0.0,,0.0,197.0,194.0,166.0,1.0,1428.0,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
163370,2022,1,1,1,6,01/01/2022,WN,WN,19393,WN,3078,,,,,WN,19393,WN,N8564Z,3078,15016,1501606,31123,STL,"St. Louis, MO",MO,29,Missouri,64,13495,1349505,33495,MSY,"New Orleans, LA",LA,22,Louisiana,72,1555,1653.0,58.0,58.0,1.0,3.0,1500-1559,6.0,1659.0,1830.0,4.0,1740,1834.0,54.0,54.0,1.0,3.0,1700-1759,0.0,,0.0,105.0,101.0,91.0,1.0,604.0,3,34.0,0.0,0.0,0.0,20.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
235987,2022,1,1,6,4,06/01/2022,WN,WN,19393,WN,3424,,,,,WN,19393,WN,N7855A,3424,10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91,14893,1489302,33192,SMF,"Sacramento, CA",CA,6,California,91,850,845.0,-5.0,0.0,0.0,-1.0,0800-0859,17.0,902.0,1004.0,4.0,1020,1008.0,-12.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,90.0,83.0,62.0,1.0,358.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
393298,2022,1,1,23,7,23/01/2022,AS,AS,19930,AS,788,,,,,AS,19930,AS,N635VA,788,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,755,928.0,93.0,93.0,1.0,6.0,0700-0759,20.0,948.0,1222.0,4.0,1055,1226.0,91.0,91.0,1.0,6.0,1000-1059,0.0,,0.0,120.0,118.0,94.0,1.0,689.0,3,91.0,0.0,0.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
248358,2022,1,1,17,1,17/01/2022,WN,WN,19393,WN,2226,,,,,WN,19393,WN,,2226,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,520,,,,,,0001-0559,,,,,755,,,,,,0700-0759,1.0,B,0.0,155.0,,,1.0,834.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
349720,2022,1,1,30,7,30/01/2022,AA,AA,19805,AA,2030,,,,,AA,19805,AA,N820AW,2030,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,1223,1219.0,-4.0,0.0,0.0,-1.0,1200-1259,17.0,1236.0,1340.0,5.0,1359,1345.0,-14.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,96.0,86.0,64.0,1.0,431.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
250083,2022,1,1,27,4,27/01/2022,WN,WN,19393,WN,36,,,,,WN,19393,WN,N405WN,36,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,14908,1490803,32575,SNA,"Santa Ana, CA",CA,6,California,91,815,810.0,-5.0,0.0,0.0,-1.0,0800-0859,10.0,820.0,820.0,4.0,835,824.0,-11.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,80.0,74.0,60.0,1.0,338.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
